film_id,year,rating,liked,watched_date,url,title
589346,2020,,False,,https://letterboxd.com/film/365-days-2020,
503889,2020,,False,,https://letterboxd.com/film/his-house,
581924,2020,,False,,https://letterboxd.com/film/the-social-dilemma,
386608,2020,,False,,https://letterboxd.com/film/sonic-the-hedgehog,
465978,2019,,False,,https://letterboxd.com/film/cats-2019,
131984,2019,,False,,https://letterboxd.com/film/star-wars-the-rise-of-skywalker,
259441,2019,,False,,https://letterboxd.com/film/little-women-2019,
460155,2019,,False,,https://letterboxd.com/film/1917,
258127,2019,,False,,https://letterboxd.com/film/frozen-2,
438751,2019,,False,,https://letterboxd.com/film/klaus,
268380,2019,,False,,https://letterboxd.com/film/zombieland-double-tap,
333203,2019,,False,,https://letterboxd.com/film/the-irishman-2019,
452596,2019,,False,,https://letterboxd.com/film/in-the-tall-grass-2019,
444600,2019,,False,,https://letterboxd.com/film/jojo-rabbit,
475370,2019,,False,,https://letterboxd.com/film/knives-out-2019,
545985,2019,,False,,https://letterboxd.com/film/the-platform,
432004,2019,,False,,https://letterboxd.com/film/sound-of-metal,
480099,2019,,False,,https://letterboxd.com/film/the-two-popes,
406775,2019,,False,,https://letterboxd.com/film/joker-2019,
404266,2019,,False,,https://letterboxd.com/film/uncut-gems,
422682,2019,,False,,https://letterboxd.com/film/marriage-story-2019,
405545,2019,,False,,https://letterboxd.com/film/it-chapter-two,
354539,2019,,False,,https://letterboxd.com/film/the-lion-king-2019,
459564,2019,,False,,https://letterboxd.com/film/midsommar,
450550,2019,,False,,https://letterboxd.com/film/annabelle-comes-home,
228628,2019,,False,,https://letterboxd.com/film/toy-story-4,
247385,2019,,False,,https://letterboxd.com/film/dark-phoenix,
532579,2019,,False,,https://letterboxd.com/film/black-mirror-rachel-jack-and-ashley-too,
532575,2019,,False,,https://letterboxd.com/film/black-mirror-smithereens,
532569,2019,,False,,https://letterboxd.com/film/black-mirror-striking-vipers,
309107,2019,,False,,https://letterboxd.com/film/godzilla-king-of-the-monsters-2019,
397859,2019,,False,,https://letterboxd.com/film/once-upon-a-time-in-hollywood,
426406,2019,,False,,https://letterboxd.com/film/parasite-2019,
460830,2019,,False,,https://letterboxd.com/film/portrait-of-a-lady-on-fire,
433863,2019,,False,,https://letterboxd.com/film/the-lighthouse-2019,
434482,2019,,False,,https://letterboxd.com/film/rocketman-2019,
354538,2019,,False,,https://letterboxd.com/film/aladdin-2019,
226660,2019,,False,,https://letterboxd.com/film/avengers-endgame,
613680,2019,,False,,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba,
411312,2019,,False,,https://letterboxd.com/film/the-curse-of-la-llorona,
451296,2019,,False,,https://letterboxd.com/film/good-boys-2019,
257540,2019,,False,,https://letterboxd.com/film/dumbo-2019,
390520,2019,,False,,https://letterboxd.com/film/us-2019,
389637,2019,,False,,https://letterboxd.com/film/extremely-wicked-shockingly-evil-and-vile,
452190,2019,,False,,https://letterboxd.com/film/escape-room-2019,
123067,2019,,False,,https://letterboxd.com/film/how-to-train-your-dragon-the-hidden-world,
498044,2018,,False,,https://letterboxd.com/film/black-mirror-bandersnatch,
362365,2018,,False,,https://letterboxd.com/film/vice-2018,
251943,2018,,False,,https://letterboxd.com/film/spider-man-into-the-spider-verse,
411439,2018,,False,,https://letterboxd.com/film/creed-ii,
340202,2018,,False,,https://letterboxd.com/film/bird-box,
292688,2018,,False,,https://letterboxd.com/film/the-grinch,
268365,2018,,False,,https://letterboxd.com/film/fantastic-beasts-the-crimes-of-grindelwald,
338883,2018,,False,,https://letterboxd.com/film/ralph-breaks-the-internet,
523343,2018,,False,,https://letterboxd.com/film/other-side-of-the-box,
358222,2018,,False,,https://letterboxd.com/film/bohemian-rhapsody,
265438,2018,,False,,https://letterboxd.com/film/venom-2018,
357668,2018,,False,,https://letterboxd.com/film/apostle-2018,
420703,2018,,False,,https://letterboxd.com/film/green-book,
370451,2018,,False,,https://letterboxd.com/film/mid90s,
384058,2018,,False,,https://letterboxd.com/film/beautiful-boy-2018,
277351,2018,,False,,https://letterboxd.com/film/the-predator,
371842,2018,,False,,https://letterboxd.com/film/the-nun-2018,
422096,2018,,False,,https://letterboxd.com/film/at-eternitys-gate,
293066,2018,,False,,https://letterboxd.com/film/suspiria-2018,
261108,2018,,False,,https://letterboxd.com/film/a-star-is-born-2018,
310705,2018,,False,,https://letterboxd.com/film/the-favourite,
387238,2018,,False,,https://letterboxd.com/film/crazy-rich-asians,
354535,2018,,False,,https://letterboxd.com/film/christopher-robin,
276291,2018,,False,,https://letterboxd.com/film/the-meg,
334265,2018,,False,,https://letterboxd.com/film/hotel-transylvania-3-summer-vacation,
281529,2018,,False,,https://letterboxd.com/film/jurassic-world-fallen-kingdom,
184061,2018,,False,,https://letterboxd.com/film/incredibles-2,
330810,2018,,False,,https://letterboxd.com/film/under-the-silver-lake,
418135,2018,,False,,https://letterboxd.com/film/blackkklansman,
436873,2018,,False,,https://letterboxd.com/film/climax-2018,
278668,2018,,False,,https://letterboxd.com/film/solo-a-star-wars-story,
318195,2018,,False,,https://letterboxd.com/film/deadpool-2,
226661,2018,,False,,https://letterboxd.com/film/avengers-infinity-war,
444497,2018,,False,,https://letterboxd.com/film/bao-2018,
261866,2018,,False,,https://letterboxd.com/film/ready-player-one,
379687,2018,,False,,https://letterboxd.com/film/a-quiet-place-2018,
333448,2018,,False,,https://letterboxd.com/film/isle-of-dogs-2018,
227784,2018,,False,,https://letterboxd.com/film/annihilation,
209383,2018,,False,,https://letterboxd.com/film/black-panther,
424348,2018,,False,,https://letterboxd.com/film/hereditary,
420451,2018,,False,,https://letterboxd.com/film/eighth-grade,
425695,2017,,False,,https://letterboxd.com/film/black-mirror-black-museum,
425694,2017,,False,,https://letterboxd.com/film/black-mirror-metalhead,
425522,2017,,False,,https://letterboxd.com/film/black-mirror-hang-the-dj,
425685,2017,,False,,https://letterboxd.com/film/black-mirror-crocodile,
425518,2017,,False,,https://letterboxd.com/film/black-mirror-arkangel,
425514,2017,,False,,https://letterboxd.com/film/black-mirror-uss-callister,
335384,2017,,False,,https://letterboxd.com/film/phantom-thread,
131987,2017,,False,,https://letterboxd.com/film/star-wars-the-last-jedi,
